id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
699974,"SMALL FLAT NEAR STREFI HILL, ATHENS",2942620,FANI And GEORGE,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98855212011041,23.741001630579152,Entire home/apt,28,3,80,2018-05-08,1.13,1,301
702480,Amazing Apartment in Modern Athens,2539665,Pygmalion & Angeliki,,ΚΟΛΩΝΟΣ,38.00204565007403,23.717311370814954,Entire home/apt,40,2,313,2018-07-13,4.47,1,314
707922,CENTRAL FLAT overlooking Pine Park!,3640077,Chloe,,ΙΛΙΣΙΑ,37.97575037956242,23.753609695835998,Entire home/apt,40,30,34,2016-10-08,0.48,1,271
709960,Vintage apartment in historic center,2534881,Haris,,ΠΕΤΡΑΛΩΝΑ,37.97350471561005,23.71526145634044,Entire home/apt,83,3,68,2018-06-29,1.08,2,313
711554,By the hill,3625710,Ilias,,ΑΚΡΟΠΟΛΗ,37.964826164865364,23.718249218356203,Entire home/apt,54,3,212,2018-07-06,3.05,2,309
718941,American style 4 Bed 4 Bath by RealGreece,2810938,Carole & Basil,,ΠΑΓΚΡΑΤΙ,37.96755342356356,23.751627461159067,Entire home/apt,263,3,7,2018-06-01,0.10,5,55
720953,Luxury flat in the heart of Athens,3722354,Sabina,,ΛΥΚΑΒΗΤΤΟΣ,37.984862920555294,23.74296033618904,Entire home/apt,79,3,8,2015-06-30,0.17,1,309
724485,5ΤΗ FLOOR WITH A VIEW DOWNTOWN ,3745284,Elpidoforos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.989722921023194,23.73707235863805,Entire home/apt,25,3,360,2018-07-04,5.17,1,284
725215,"Center 2, Metro 30m, Satelite TV",640163,Nikos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99341040867505,23.73028107980652,Entire home/apt,79,2,12,2018-04-08,0.18,9,348
726412,Lovely room in historic center,2534881,Haris,,ΠΕΤΡΑΛΩΝΑ,37.973379257285984,23.715367529012795,Private room,20,2,4,2017-02-20,0.06,2,27
727374,Casavathel1 Athens Center Apartment,3756353,Thelma,,ΝΙΡΒΑΝΑ,38.01391912616874,23.725366227508598,Entire home/apt,25,2,296,2018-07-12,4.28,3,259
728383,A Luxury 2-bdrm Athenian Loft with Acropolis View,748818,George,,ΝΕΟΣ ΚΟΣΜΟΣ,37.959969366684184,23.734361271604328,Entire home/apt,90,2,105,2018-06-25,1.61,70,324
751280,Metro  Acropolis  !!!!!!!!!!!!!!,3950691,Claudia,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9680806820769,23.726948202094786,Entire home/apt,55,3,75,2018-07-04,1.14,1,362
752058,an art -deco architecture atelier business ready,3954884,Τimmi,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00258573427591,23.732806359395763,Entire home/apt,40,2,167,2018-06-09,2.61,1,362
753164,STUDIO 18m2 A2  IN ATHENS,3961722,Eurydice,,ΑΝΩ ΚΥΨΕΛΗ,38.00798214148827,23.738182422256816,Entire home/apt,15,7,29,2018-06-27,0.43,3,297
758870,Discover Athens! Central ap/ment!!,3999271,Emily,,ΚΕΡΑΜΕΙΚΟΣ,37.981155562061474,23.722859172038163,Entire home/apt,47,1,73,2017-05-03,1.16,2,364
764650,"Sunny garden, Centre of Athens",4031168,Yiannis,,ΚΕΡΑΜΕΙΚΟΣ,37.98357098503129,23.71563394178142,Entire home/apt,65,2,128,2018-07-03,1.98,1,355
766382,The Anthony Quinn Suite,2356315,Alice Inn,,ΖΑΠΠΕΙΟ,37.97145628079911,23.733470553286434,Entire home/apt,100,1,38,2018-07-07,0.55,4,102
767272,Luxury Gallery garden house ,964919,Rebecca,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98412496922929,23.721077603262483,Entire home/apt,350,3,2,2017-06-09,0.04,2,344
770808,LOCAL VIBES / CENTRAL AREA / COOL SAFE PLACES,301707,Penny,,ΚΕΡΑΜΕΙΚΟΣ,37.980694869978244,23.716079926936644,Entire home/apt,39,1,80,2018-07-10,1.19,1,365
773944,Athens apartment close to all main sightseeing,3915403,Maria,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.965833368806166,23.72456567494896,Entire home/apt,39,2,235,2018-07-10,3.69,1,153
776499,deluxe studio under Acropolis ,3909089,Nantia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97544970829538,23.729320326865814,Entire home/apt,65,2,219,2018-07-02,3.46,1,306
776759,Verdant large veranda with hammocks,3971505,Katerina,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98865578234201,23.710932856696097,Entire home/apt,35,3,45,2018-05-03,0.73,1,365
778192,"118sq,m.in Athens downtown?Awesome!",556615,Miglen,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98369780133639,23.728842163212924,Entire home/apt,69,2,46,2018-04-30,0.69,12,174
781111,Visit Athens as an Athenian,4119817,Dorothéa,,ΙΛΙΣΙΑ,37.976313551133494,23.751807541351354,Entire home/apt,69,4,27,2018-07-14,0.49,1,329
783657,Artistic studio in Syntagma with Acropolis view,4082977,Sofi,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97705272709711,23.7314407123126,Entire home/apt,52,2,311,2018-06-23,4.55,3,276
783955,New- A beautiful apartment,4134047,Theo,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.988695985288594,23.73489064055435,Entire home/apt,55,3,0,,,1,362
784414,Nice Apt 98m2 Center Athens,4136310,Maria-Louisa,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.999022902708276,23.729081947501513,Entire home/apt,35,1,1,2016-08-15,0.04,1,365
792097,Athens 5 persons apt./City Center,435867,Leandros,,ΠΑΓΚΡΑΤΙ,37.966260646328536,23.75088266494665,Entire home/apt,33,2,226,2018-02-28,3.59,2,177
