id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10595,"96m2, 3BR, 2BA, Metro, WI-FI etc...",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76431,Entire home/apt,176,1,21,2019-06-23,0.21,8,354
10988,"75m2, 2-br, metro, wi-fi, cable TV",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98843,23.76345,Entire home/apt,118,1,31,2017-11-23,0.38,8,0
10990,"50m2, Metro, WI-FI, cableTV, more",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98783,23.76479,Entire home/apt,85,1,31,2019-04-21,0.37,8,354
10993,"Studio, metro, cable tv, wi-fi, etc",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98861,23.76422,Entire home/apt,76,1,47,2019-04-17,0.57,8,333
10995,"47m2, close to metro,cable TV,wi-fi",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9895,23.76356,Entire home/apt,85,2,19,2019-04-19,0.17,8,350
27262,"54m2, 1-br, cable tv, wi-fi, metro",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98893,23.76475,Entire home/apt,85,1,16,2017-05-15,0.19,8,355
28186,❤️Deluxe central loft near Acropolis❤️,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9768,23.72924,Entire home/apt,49,2,429,2019-07-07,4.93,2,304
31155,sleep on sailing boat,133845,Irene,,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room,39,1,0,,,1,365
33704,"Artist's studio in Athens, safe area, near metro",145728,Nicole,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99052,23.76593,Entire home/apt,35,1,34,2019-06-30,1.47,1,71
38100,Stay at the heart of Athens (100m²),163481,Alexandros,,ΠΑΓΚΡΑΤΙ,37.97075,23.74259,Entire home/apt,48,3,186,2019-06-26,1.71,2,279
40149,Great View - Heart of Athens  wifi,172333,Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97969,23.729,Entire home/apt,43,3,281,2019-07-08,2.80,4,305
40150,Syntagma Heart of Athens free wifi,172333,Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97968,23.73037,Entire home/apt,37,3,132,2019-06-25,1.25,4,322
44858,Luxury room near Areos Park & Athens centre,197677,Haris,,ΚΥΨΕΛΗ,37.99674,23.73838,Private room,23,2,169,2018-07-23,1.60,1,363
48635,Athensstay!Welcome home!metroAttiki,221434,Katia,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,38.00087,23.72186,Entire home/apt,21,1,166,2019-07-05,1.87,3,343
49489,3bdr apt in the heart of Athens,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97692,23.7304,Entire home/apt,135,2,119,2019-06-21,1.24,1,324
54637,Penthouse Parthenon view in Athens,256676,Angeliki,,ΣΤΑΔΙΟ,37.96811,23.74345,Entire home/apt,70,10,3,2018-02-01,0.05,1,363
59663,ATHENS spacious apt Ideal location,286911,Nely,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99095,23.72195,Entire home/apt,59,1,370,2019-06-23,3.54,1,304
60394,Cosy 1 bedroom apt! Great central Athens location!,290864,Mika,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96543,23.74025,Entire home/apt,27,3,9,2017-10-03,0.18,1,301
